Rank,Country (or dependent territory),Population
,Mauritius,100
,Ghana,77
,Uganda,74
,Qatar,72
,United Kingdom,66
,Ireland,62
,Malaysia,61
,United Arab Emirates,57
,Canada,55
,Ethiopia,55
,India,55
,Sri Lanka,53
,Pakistan,53
,United States,52
,Nigeria,52
,Puerto Rico,51
,Nepal,50
,Kenya,45
,Australia,43
,Oman,42
,South Africa,36
,New Zealand,36
,Singapore,32
,Kuwait,26
,Philippines,25
,Bangladesh,23
,Hong Kong,22
,Lithuania,19
,Finland,19
,Sweden,14
,Croatia,14
,Greece,13
,Saudi Arabia,13
,Portugal,12
,Denmark,10
,Netherlands,9
,Israel,8
,Indonesia,7
,Belgium,7
,Germany,7
,Switzerland,7
,Hungary,7
,South Korea,7
,Austria,6
,Italy,4
,Thailand,4
,Spain,4
,Argentina,4
,Vietnam,3
,France,3
,Mexico,3
,Poland,3
,Turkey,2
,Brazil,2
,Japan,1
,Russian Federation,1